"Дергачи
(укр. Дергачі)";"Деркачи (до 1943)";"Харьковская область";"20 258";1660
"Джанкой[29](укр. Джанкой)";"";"Автономная Республика Крым";"43 343";1855
"Днепр
(укр. Дніпро)";"Екатеринослав (до 1796)
Новороссийск (до 1802)
Екатеринослав (до 1926)
Днепропетровск (до 2016)";"Днепропетровская область";"1 065 008";1776
"Днепрорудное
(укр. Дніпрорудне)";"Дружба (до 1963)
Днепроград (до 1964)";"Запорожская область";"21 054";1961
"Добромиль
(укр. Добромиль)";"";"Львовская область";"4 976";1374
"Доброполье
(укр. Добропілля)";"Прасковеевка (до 1935)";"Донецкая область";"35 638";1840
"Докучаевск
(укр. Докучаєвськ)";"Еленовские Карьеры (до 1954)";"Донецкая область";"24 383";1912
"Должанск
(укр. Довжанськ)";"Свердловск (до 2016)";"Луганская область";"72 531";"XVIII век"
"Долина
(укр. Долина)";"";"Ивано-Франковская область";"20 906";979
"Долинская
(укр. Долинська)";"";"Кировоградская область";"18 768";1873
"Донецк
(укр. Донецьк)";"Юзовка (до 1924)
Сталин (до 1929)
Сталино (до 1961)";"Донецкая область";"1 016 194";1869
"Дрогобыч
(укр. Дрогобич)";"";"Львовская область";"79 119";1091
"Дружба
(укр. Дружба)";"Хутор-Михайловский (до 1962)";"Сумская область";"5 726";"XIX век"
"Дружковка
(укр. Дружківка)";"";"Донецкая область";"64 557";1781
"Дубляны
(укр. Дубляни)";"";"Львовская область";"8 469";1468
"Дубно
(укр. Дубно)";"";"Ровненская область";"39 146";1100
"Дубровица
(укр. Дубровиця)";"Домбровица (до 1940)";"Ровненская область";"9 644";1005
"Дунаевцы
(укр. Дунаївці)";"Дунай-город";"Хмельницкая область";"16 448";1403
"Евпатория[29]
(укр. Євпаторія)";"Керкинитида
Гёзлёв (с 1475 до 1784)";"Автономная Республика Крым";"105 915";"497 до н. э."
"Енакиево
(укр. Єнакієве)";"Рыково (с 1928 до 1937)
Орджоникидзе (с 1937 до 1943)";"Донецкая область";"103 997";1782
"Жашков
(укр. Жашків)";"";"Черкасская область";"15 853";1636
"Ждановка
(укр. Жданівка)";"Ново-Ждановка (до 1966)";"Донецкая область";"13 688";1924
"Железное
(укр. Залізне)";"Нелеповский (до 1921)
Артёмово (до 2016)";"Донецкая область";"6 725";1894
"Жёлтые Воды
(укр. Жовті Води)";"Жёлтая Река (до 1957)";"Днепропетровская область";"53 582";1895
"Жидачов
(укр. Жидачів)";"";"Львовская область";"11 798";1164
"Житомир
(укр. Житомир)";"";"Житомирская область";"284 236";884
"Жмеринка
(укр. Жмеринка)";"";"Винницкая область";"37 349";"XVIII век"
"Жолква
(укр. Жовква)";"Нестеров (с 1951 до 1992)";"Львовская область";"13 474";1597
"Заводское
(укр. Заводське)";"Сталинка (до 1962)
Червонозаводское (до 2016)";"Полтавская область";"9 024";1928
"Залещики
(укр. Заліщики)";"";"Тернопольская область";"10 125";1578
"Запорожье
(укр. Запоріжжя)";"Александровск (до 1921)";"Запорожская область";"815 256";1770
"Заставна
(укр. Заставна)";"";"Черновицкая область";"8 866";1589
"Збараж
(укр. Збараж)";"";"Тернопольская область";"13 228";1211
"Зборов
(укр. Зборів)";"Верхостав";"Тернопольская область";"7 436";1166
"Звенигородка
(укр. Звенигородка)";"Звенигород";"Черкасская область";"19 901";1545
"Здолбунов
(укр. Здолбунів)";"Долбунов";"Ровненская область";"24 612";1497
"Зеленодольск
(укр. Зеленодольськ)";"";"Днепропетровская область";"14 792";1961
"Зеньков
(укр. Зіньків)";"";"Полтавская область";"10 577";1604
"Зимогорье
(укр. Зимогір’я)";"Черкасское (до 1961)";"Луганская область";"11 295";1645
"Змиёв
(укр. Зміїв)";"Змеев
Готвальд (с 1976 до 1990)";"Харьковская область";"17 063";1604
"Знаменка
(укр. Знам’янка)";"";"Кировоградская область";"29 412";1869
"Золотое
(укр. Золоте)";"";"Луганская область";"17 836";1903
"Золотоноша
(укр. Золотоноша)";"";"Черкасская область";"28 793";1576
"Золочев
(укр. Золочів)";"";"Львовская область";"23 481";1442
"Зоринск
(укр. Зоринськ)";"";"Луганская область";"8 838";1930
"Зугрэс
(укр. Зугрес)";"";"Донецкая область";"19 859";1929
"Ивано-Франковск
(укр. Івано-Франківськ)";"Станиславов (до 1772)
Станислав (до 1918)
Станиславов (до 1939)
Станислав (до 1962)";"Ивано-Франковская область";"218 359";1662
"Измаил
(укр. Ізмаїл)";"Тучков (до 1856)";"Одесская область";"84 815";1812
"Изюм
(укр. Ізюм)";"Озюм";"Харьковская область";"56 114";1681
"Изяслав
(укр. Ізяслав)";"Заслав
Заславль";"Хмельницкая область";"18 444";1390
"Ильинцы
(укр. Іллінці)";"Линцы";"Винницкая область";"11 186";1391
"Иловайск
(укр. Іловайськ)";"";"Донецкая область";"17 620";1869
"Инкерман[29](укр. Інкерман)";"Каламита
Белокаменск (с 1976 до 1991)";"Севастополь";"10 628";"VI век"
"Ирмино
(укр. Ірміно)";"Петровка (до 1900)
Ирмино (до 1977)
Теплогорск (до 2010)";"Луганская область";"13 053";1808
"Ирпень
(укр. Ірпінь)";"";"Киевская область";"40 593";1899
"Иршава
(укр. Іршава)";"";"Закарпатская область";"9 515";1341
"Ичня
(укр. Ічня)";"";"Черниговская область";"12 780";"XIV век"
"Кагарлык
(укр. Кагарлик)";"Городец";"Киевская область";"13 757";1142
"Кадиевка
(укр. Кадіївка)";"Кадиевка (до 1937)
Серго (до 1943)
Кадиевка (до 1978)
Стаханов (до 2016)";"Луганская область";"90 152";1814
"Казатин
(укр. Козятин)";"Гуйва";"Винницкая область";"26 635";1734
"Калиновка
(укр. Калинівка)";"";"Винницкая область";"20 061";1774
"Калуш
(укр. Калуш)";"";"Ивано-Франковская область";"67 902";1437
"Кальмиусское
(укр. Кальміуське)";"Каракубстрой (до 1949)
Комсомольское (до 2016)";"Донецкая область";"12 813";1933
"Каменец-Подольский
(укр. Кам’янець-Подільський)";"Каменец
Каменец-Подольск";"Хмельницкая область";"99 610";1062
"Каменка
(укр. Кам’янка)";"";"Черкасская область";"15 109";"XVII век"
"Каменка-Бугская
(укр. Кам’янка-Бузька)";"";"Львовская область";"11 674";1471
"Каменка-Днепровская
(укр. Кам’янка-Дніпровська)";"Малая Знаменка
Каменка
Каменка-на-Днепре";"Запорожская область";"15 522";1786
"Каменское
(укр. Кам’янське)";"Днепродзержинск (с 1936 до 2016)";"Днепропетровская область";"255 841";1897
"Камень-Каширский
(укр. Камінь-Каширський)";"Камень-Каширск";"Волынская область";"10 818";"XIII век"
"Канев
(укр. Канів)";"Родень";"Черкасская область";"26 657";1078
"Карловка
(укр. Карлівка)";"";"Полтавская область";"17 995";1711
"Каховка
(укр. Каховка)";"Ислам-Кермен";"Херсонская область";"38 238";1791
"Керчь[29]
(укр. Керч)";"Черкио
Воспоро
Корчев
Боспор
Пантикапей";"Автономная Республика Крым";"157 007";"610 до н. э."
"Киверцы
(укр. Ківерці)";"";"Волынская область";"16 678";1870
"Киев
(укр. Київ)";"";"Киев";"2 611 327";860
"Килия
(укр. Кілія)";"Хилия
Ликостомон
Кили";"Одесская область";"22 594";"385 до н. э."
"Кипучее
(укр. Кипуче)";"Екатериновка (до 1921)
Артёмовский (до 1938)
Артёмовск (до 2016)";"Луганская область";"9 097";1910
"Кицмань
(укр. Кіцмань)";"";"Черновицкая область";"7 608";1413
"Кобеляки
(укр. Кобеляки)";"";"Хмельницкая область";"12 076";1620
"Ковель
(укр. Ковель)";"";"Волынская область";"66 401";1310
"Кодыма
(укр. Кодима)";"";"Одесская область";"9 634";1754
"Коломыя
(укр. Коломия)";"";"Ивано-Франковская область";"61 989";1240
"Комарно
(укр. Комарно)";"";"Львовская область";"3 994";1471
"Конотоп
(укр. Конотоп)";"Новоселицы";"Сумская область";"92 657";1635
"Константиновка
(укр. Костянтинівка)";"";"Донецкая область";"95 111";1870
"Копычинцы
(укр. Копичинці)";"";"Тернопольская область";"7 036";1443
"Корец
(укр. Корець)";"Корческ";"Ровненская область";"8 649";1150
"Коростень
(укр. Коростень)";"Искоростень";"Житомирская область";"66 669";945
"Коростышев
(укр. Коростишів)";"";"Житомирская область";"26 068";1495
"Корсунь-Шевченковский
(укр. Корсунь-Шевченківський)";"Корсунь (до 1944)";"Черкасская область";"19 311";1032
"Корюковка
(укр. Корюківка)";"";"Черниговская область";"14 318";1657
"Косов
(укр. Косів)";"";"Ивано-Франковская область";"8 301";1424
"Костополь
(укр. Костопіль)";"";"Ровненская область";"30 467";"XVIII век"
"Краматорск
(укр. Краматорськ)";"";"Донецкая область";"181 025";1868
"Красилов
(укр. Красилів)";"";"Хмельницкая область";"20 580";1444
"Красногоровка
(укр. Красногорівка)";"";"Донецкая область";"16 714";1880
"Красноград
(укр. Красноград)";"Константиноград (до 1922)";"Харьковская область";"22 670";1731
"Красноперекопск[29]
(укр. Красноперекопськ)";"";"Автономная Республика Крым";"31 023";1932
"Кременец
(укр. Кременець)";"";"Тернопольская область";"22 051";1227
"Кременная
(укр. Кремінна)";"Ново-Глухов (до 1917)";"Луганская область";"24 447";1733
"Кременчуг
(укр. Кременчук)";"";"Полтавская область";"234 073";1571
"Крестовка
(укр. Хрестівка)";"строительства Давыдовской группы шахт (до 1956)
Кировское (до 2016)";"Донецкая область";"30 910";1954
"Кривой Рог
(укр. Кривий Ріг)";"";"Днепропетровская область";"625 700[48]";1775
"Кролевец
(укр. Кролевець)";"";"Сумская область";"25 183";1601
"Кропивницкий
(укр. Кропивницький)";"Елисаветград (до 1924)
Зиновьевск (до 1934)
Кирово (до 1939)
Кировоград (до 2016)";"Кировоградская область";"254 103";1754
"Купянск
(укр. Куп’янськ)";"Купенск";"Харьковская область";"32 449";1655
"Курахово
(укр. Курахове)";"Кураховгрэсстрой (до 1943)
Кураховгрэс (до 1956)";"Донецкая область";"21 479";1936
"Ладыжин
(укр. Ладижин)";"";"Винницкая область";"22 219";1240
"Лановцы
(укр. Ланівці)";"";"Тернопольская область";"8 680";1444
"Лебедин
(укр. Лебедин)";"";"Сумская область";"28 948";1654
"Лиман
(укр. Лиман)";"Красный Лиман (с 1923 до 2016)";"Донецкая область";"28 172";1667
"Липовец
(укр. Липовець)";"";"Винницкая область";"9 406";1545
"Лисичанск
(укр. Лисичанськ)";"";"Луганская область";"115 229";1710
"Лозовая
(укр. Лозова)";"";"Харьковская область";"64 041";1869
"Лохвица
(укр. Лохвиця)";"";"Полтавская область";"12 389";1320
"Лубны
(укр. Лубни)";"Лубно";"Полтавская область";"52 572";988
"Луганск
(укр. Луганськ)";"Луганский Завод (до 1882)
Ворошиловград (с 1935 до 1958, с 1970 до 1990)";"Луганская область";"463 097";1795
"Лутугино
(укр. Лутугине)";"Шмидтовка (до 1921)";"Луганская область";"18 833";1896
"Луцк
(укр. Луцьк)";"Луческ";"Волынская область";"208 816";1085
"Львов
(укр. Львів)";"";"Львовская область";"732 818";1256
"Любомль
(укр. Любомль)";"";"Волынская область";"10 395";1287
"Люботин
(укр. Люботин)";"";"Харьковская область";"24 173";1650
"Макеевка
(укр. Макіївка)";"Дмитриевск (с 1920 до 1931)";"Донецкая область";"389 589";1690
"Малая Виска
(укр. Мала Виска)";"";"Кировоградская область";"13 132";1752
"Малин
(укр. Малин)";"";"Житомирская область";"28 113";891
"Марганец
(укр. Марганець)";"Городище (до 1926)
Коминтерн (до 1938)";"Днепропетровская область";"49 592";1938
"Мариуполь
(укр. Маріуполь)";"Павловск (до 1779)
Жданов (с 1948 до 1989)";"Донецкая область";"492 176";1778
"Марьинка
(укр. Мар'їнка)";"";"Донецкая область";"10 722";1844
"Мелитополь
(укр. Мелітополь)";"";"Запорожская область";"160 657";1784
"Мена
(укр. Мена)";"";"Черниговская область";"11 243";1408
"Мерефа
(укр. Мерефа)";"";"Харьковская область";"21 598";1595
"Миргород
(укр. Миргород)";"";"Полтавская область";"38 447";1575
"Мирноград
(укр. Мирноград)";"Новоэкономическое (до 1965)
Димитров (с 1965 до 2016)";"Донецкая область";"47 460";1911
"Мироновка
(укр. Миронівка)";"";"Киевская область";"13 368";"XVII век"
"Миусинск
(укр. Миусинск)";"Штергрэс (до 1965)";"Луганская область";"6 029";1923
"Могилёв-Подольский
(укр. Могилів-Подільський)";"";"Винницкая область";"32 853";1595
"Молодогвардейск
(укр. Молодогвардійськ)";"";"Луганская область";"25 528";1954
"Молочанск
(укр. Молочанськ)";"Гальбштадт (до 1915)";"Запорожская область";"7 964";1803
"Монастыриска
(укр. Монастириська)";"Монастырище";"Тернопольская область";"6 344";1454
"Монастырище
(укр. Монастирище)";"";"Черкасская область";"9 463";1050
"Моршин
(укр. Моршин)";"";"Львовская область";"6 482";1482
"Моспино
(укр. Моспине)";"";"Донецкая область";"11 736";1800
"Мостиска
(укр. Мостиська)";"";"Львовская область";"9 150";1244
"Мукачево
(укр. Мукачево)";"Мункач";"Закарпатская область";"82 346";896
"Надворная
(укр. Надвірна)";"";"Ивано-Франковская область";"20 932";1589
"Нежин
(укр. Ніжин)";"Уненеж";"Черниговская область";"76 625";993
"Немиров
(укр. Немирів)";"";"Винницкая область";"12 082";1506
"Нетешин
(укр. Нетішин)";"";"Хмельницкая область";"34 358";1542
"Николаев
(укр. Миколаїв)";"";"Львовская область";"14 801";1570
"Николаев
(укр. Миколаїв)";"";"Николаевская область";"514 136";1789
"Николаевка
(укр. Миколаївка)";"Красный Бык";"Донецкая область";"16 620";1730
"Никополь
(укр. Нікополь)";"Никитино (до 1779)
Славянск (до 1782)";"Днепропетровская область";"136 280";1639
"Новая Каховка
(укр. Нова Каховка)";"Ключевое";"Херсонская область";"52 137";1952
"Новая Одесса
(укр. Нова Одеса)";"Фёдоровка (до 1832)";"Николаевская область";"14 070";1776
"Новгород-Северский
(укр. Новгород-Сіверський)";"";"Черниговская область";"15 175";989
"Новоазовск
(укр. Новоазовськ)";"Новониколаевская (до 1923)
Будённовская (1959)";"Донецкая область";"12 702";1849
"Нововолынск
(укр. Нововолинськ)";"Нововолынский";"Волынская область";"53 838";1950
"Новоград-Волынский
(укр. Новоград-Волинський)";"Звягель (до 1795)";"Житомирская область";"56 259";1257
"Новогродовка
(укр. Новогродівка)";"Гродовка (до 1958)";"Донецкая область";"17 473";1939
"Новоднестровск
(укр. Новодністровськ)";"";"Черновицкая область";"10 342";1973
"Новодружеск
(укр. Новодружеськ)";"Новодружеское (до 1963)";"Луганская область";"9 025";1935
"Новомиргород
(укр. Новомиргород)";"";"Кировоградская область";"13 220";1740
"Новомосковск
(укр. Новомосковськ)";"";"Днепропетровская область";"72 439";1672
"Новоселица
(укр. Новоселиця)";"";"Черновицкая область";"8 400";1456
"Новоукраинка
(укр. Новоукраїнка)";"Павлово (до 1813)
Павловск (до 1902)";"Кировоградская область";"19 353";1769
"Новояворовск
(укр. Новояворівськ)";"Янтарное (до 1965)
Новояворовское (до 2008)";"Львовская область";"26 483";1965
"Новый Буг
(укр. Новий Буг)";"Новопавловка (до 1932)";"Николаевская область";"16 250";1810
"Новый Калинов
(укр. Новий Калинів)";"";"Львовская область";"3 582";1951
"Новый Роздол
(укр. Новий Розділ)";"";"Львовская область";"28 227";1952
"Носовка
(укр. Носівка)";"";"Черниговская область";"15 966";1147
"Обухов
(укр. Обухів)";"";"Киевская область";"32 776";1362
"Овруч
(укр. Овруч)";"Вручий";"Житомирская область";"17 031";946
"Одесса
(укр. Одеса)";"Хаджибей (до 1795)";"Одесская область";"1 029 049";1794
"Олевск
(укр. Олевськ)";"Ореховец
Олегск";"Житомирская область";"10 897";977
"Орехов
(укр. Оріхів)";"";"Запорожская область";"17 955";1783
"Остёр
(укр. Остер)";"";"Черниговская область";"7 194";1098
"Острог
(укр. Острог)";"";"Ровненская область";"14 801";1100
"Павлоград
(укр. Павлоград)";"";"Днепропетровская область";"118 816";1779
"Первомайск
(укр. Первомайськ)";"Александровка (до 1865)
Петро-Марьевка (1920)";"Луганская область";"43 082";1765
